Thread[Thread-1,5,main] Beacon Parent -> 30    Beacon Voltage 17109  Beacon etx 2849 
 Beacon Parent -> 30    Beacon Voltage 2432  Beacon etx 4285 
 Beacon Parent -> 30    Beacon Voltage 2441  Beacon etx 4285 
 Beacon Parent -> 30    Beacon Voltage 2437  Beacon etx 4285 
 Beacon Parent -> 10    Beacon Voltage -1695  Beacon etx 4234 
 Beacon Parent -> 30    Beacon Voltage 2425  Beacon etx 4244 
 Beacon Parent -> 30    Beacon Voltage 2443  Beacon etx 4244 
 Beacon Parent -> 30    Beacon Voltage 2428  Beacon etx 4206 
 Beacon Parent -> 30    Beacon Voltage 2426  Beacon etx 4206 
 Beacon Parent -> 30    Beacon Voltage 2424  Beacon etx 4206 
 Beacon Parent -> 30    Beacon Voltage 2416  Beacon etx 4206 
 Beacon Parent -> 30    Beacon Voltage 2416  Beacon etx 4206 
 Beacon Parent -> 30    Beacon Voltage 2439  Beacon etx 4206 
 Beacon Parent -> 30    Beacon Voltage 2459  Beacon etx 4219 
 Beacon Parent -> 30    Beacon Voltage 2413  Beacon etx 4219 
 Beacon Parent -> 30    Beacon Voltage 2454  Beacon etx 4219 
 Beacon Parent -> 30    Beacon Voltage 2417  Beacon etx 4208 
 Beacon Parent -> 30    Beacon Voltage 2373  Beacon etx 4208 
 Beacon Parent -> 30    Beacon Voltage 2413  Beacon etx 4208 
 Beacon Parent -> 30    Beacon Voltage 2376  Beacon etx 4244 
 Beacon Parent -> 10    Beacon Voltage -1721  Beacon etx 4223 
 Beacon Parent -> 10    Beacon Voltage -1712  Beacon etx 4204 
 Beacon Parent -> 30    Beacon Voltage 2387  Beacon etx 4214 
 Beacon Parent -> 30    Beacon Voltage 2404  Beacon etx 4214 

@ CTP # No: 500 # Best 20 # BestVolt: 2404 # PathVolt: 16494 # BestEtx: 4214 # PathEtx: -1
 Beacon Parent -> 30    Beacon Voltage 2429  Beacon etx 4214 
 Beacon Parent -> 30    Beacon Voltage 2383  Beacon etx 4214 
 Beacon Parent -> 30    Beacon Voltage 2395  Beacon etx 4214 
 Beacon Parent -> 30    Beacon Voltage 14737  Beacon etx 4233 
 Beacon Parent -> 30    Beacon Voltage 14745  Beacon etx 4233 
 Beacon Parent -> 30    Beacon Voltage 14724  Beacon etx 4233 
 Beacon Parent -> 30    Beacon Voltage 14738  Beacon etx 4233 
